,class,layer,correlation,pvalue
0,fountain_pen,Conv1,0.8400886584664502,4.646153851577748e-05
1,fountain_pen,bn_Conv1,0.1487481590574374,0.5824549319269408
2,fountain_pen,expanded_conv_depthwise,0.6725535301282598,0.004309413851608708
3,fountain_pen,expanded_conv_depthwise_BN,0.9021341662333113,1.7739271127466917e-06
4,fountain_pen,expanded_conv_project,0.32647058823529407,0.2171594905792295
5,fountain_pen,expanded_conv_project_BN,0.3970588235294118,0.1278060090882619
6,fountain_pen,block_1_expand,0.44297289402320833,0.08572458350388919
7,fountain_pen,block_1_expand_BN,-0.3911764705882353,0.1340712861972552
8,fountain_pen,block_1_depthwise,-0.008823529411764706,0.9741279946623942
9,fountain_pen,block_1_depthwise_BN,-0.5529411764705882,0.026314499870666502
10,fountain_pen,block_1_project,0.12941176470588234,0.63288233246826
11,fountain_pen,block_1_project_BN,-0.29705882352941176,0.2638630146135225
12,fountain_pen,block_2_expand,-0.11184697656399943,0.6800499663087919
13,fountain_pen,block_2_expand_BN,-0.75,0.0008197640272555872
14,fountain_pen,block_2_depthwise,0.10882352941176471,0.688288293957414
15,fountain_pen,block_2_depthwise_BN,-0.5588235294117647,0.02443651142450573
16,fountain_pen,block_2_project,-0.02647058823529412,0.9224805705017287
17,fountain_pen,block_2_project_BN,0.4815910966609887,0.05891636121702192
18,fountain_pen,block_3_expand,-0.28823529411764703,0.27898445973708325
19,fountain_pen,block_3_expand_BN,-0.29705882352941176,0.2638630146135225
20,fountain_pen,block_3_depthwise,0.55,0.027293972709730593
21,fountain_pen,block_3_depthwise_BN,-0.2516556972689988,0.34710363587633475
22,fountain_pen,block_3_project,0.2647058823529412,0.3218043958686153
23,fountain_pen,block_3_project_BN,0.1604121111246834,0.5528708959771769
24,fountain_pen,block_4_expand,-0.39175300217682874,0.13344808786954607
25,fountain_pen,block_4_expand_BN,-0.3502576371346299,0.18352409228095906
26,fountain_pen,block_4_depthwise,0.03823529411764706,0.8881976539853073
27,fountain_pen,block_4_depthwise_BN,-0.5794117647058823,0.018662529417711946
28,fountain_pen,block_4_project,0.4176470588235294,0.1074740793993006
29,fountain_pen,block_4_project_BN,0.5577632120757341,0.02476717878727559
30,fountain_pen,block_5_expand,0.41678984818061104,0.10827207167077443
31,fountain_pen,block_5_expand_BN,-0.6294117647058822,0.008988089264446917
32,fountain_pen,block_5_depthwise,0.15894044038042027,0.5565671861734053
33,fountain_pen,block_5_depthwise_BN,-0.17967618896831994,0.5055024902601386
34,fountain_pen,block_5_project,-0.22958063610505147,0.39236254008914173
35,fountain_pen,block_5_project_BN,0.07511053801134686,0.782193978353839
36,fountain_pen,block_6_expand,0.7352941176470589,0.0011716155350991778
37,fountain_pen,block_6_expand_BN,-0.20014722121978845,0.4573500167042257
38,fountain_pen,block_6_depthwise,0.5794117647058823,0.018662529417711946
39,fountain_pen,block_6_depthwise_BN,0.011764705882352941,0.9655081698956276
40,fountain_pen,block_6_project,0.5147058823529412,0.04134580644224894
41,fountain_pen,block_6_project_BN,0.6294117647058822,0.008988089264446917
42,fountain_pen,block_7_expand,-0.05003680530494711,0.8539932263898341
